terminate called after throwing an instance of 'simdjson::simdjson_error'
  what():  Error allocating memory, we're most likely out of memory
start server.
(2021-09-25.02:27:24 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:27:37 AM) contains: 발정 | 127.0.0.1
(2021-09-25.02:27:40 AM) contains: 응기잇! | 127.0.0.1
(2021-09-25.02:27:41 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:27:57 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:28:05 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:28:15 AM) similar: 중고가 더 인기 | 127.0.0.1
(2021-09-25.02:28:15 AM) contains: 중고가 더 인기 | 127.0.0.1
(2021-09-25.02:28:28 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:28:48 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:28:52 AM) contains: 5살 | 127.0.0.1
(2021-09-25.02:28:53 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:28:53 AM) contains: 임신 | 127.0.0.1
(2021-09-25.02:29:01 AM) similar: 중고가 더 인기 | 127.0.0.1
(2021-09-25.02:29:02 AM) contains: 임신시키 | 127.0.0.1
(2021-09-25.02:29:05 AM) contains: 8살 | 127.0.0.1
(2021-09-25.02:29:20 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:29:23 AM) contains: 유치원 | 127.0.0.1
(2021-09-25.02:29:42 AM) contains: 후타 | 127.0.0.1
(2021-09-25.02:29:44 AM) contains: 중고 | 127.0.0.1
(2021-09-25.02:29:58 AM) contains: 중고 보지 | 127.0.0.1
(2021-09-25.02:30:01 AM) contains: 초등 | 127.0.0.1
(2021-09-25.02:30:11 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:30:13 AM) contains: 찢어 | 127.0.0.1
(2021-09-25.02:30:25 AM) contains: 중고가 | 127.0.0.1
(2021-09-25.02:30:56 AM) contains: 너무 커 | 127.0.0.1
(2021-09-25.02:31:08 AM) contains: 후타나리 | 127.0.0.1
